event_id,channel,type,min,max,std
traindata_20181005_070124,aBD23Az,accel,,,
traindata_20181005_070124,aAR0910Ay,accel,,,
traindata_20181005_070124,aAR0910Cy,accel,,,
traindata_20181005_070124,aAR1516Ay,accel,,,
traindata_20181005_070124,aAR1516Cy,accel,,,
traindata_20181005_070124,aAR2122Ay,accel,,,
traindata_20181005_070124,aAR2122Cy,accel,,,
traindata_20181005_070124,sgBD1011A,strain,-5.367700995141455e-06,1.812082290513097e-05,3.5637907615253298e-06
traindata_20181005_070124,sgBD1415A,strain,-9.335587685718603e-06,1.4051025291673437e-05,3.333151103121191e-06
traindata_20181005_070124,sgBD1718A,strain,,,
traindata_20181005_070124,sgBD1718C,strain,-1.2147041678877422e-06,6.12043893983168e-05,1.4153368070326103e-05
traindata_20181005_070124,sgBD2324AB,strain,,,
traindata_20181005_070124,sgBD2324AT,strain,,,
traindata_20181005_070124,sgBD2324C,strain,-1.2987566268377894e-06,5.376839980328682e-05,1.3047810618162956e-05
traindata_20181005_070124,sgBD2728A,strain,-1.68355409650413e-06,4.606614835502423e-05,1.0036610077735799e-05
traindata_20181005_070124,sgDI20ALB,strain,,,
traindata_20181005_070124,sgDI20ALL,strain,,,
traindata_20181005_070124,sgDI23ALB,strain,,,
traindata_20181005_070124,sgDI23ALL,strain,,,
traindata_20181005_070124,sgRABB,strain,,,
traindata_20181005_070124,sgRABL,strain,,,
traindata_20181005_070124,sgRAAB,strain,,,
traindata_20181005_070124,sgRAAL,strain,,,
traindata_20181005_160053,aBD11Az,accel,-1.7081265973357271,1.7932955974032128,0.08684563139487878
traindata_20181005_160053,aBD17Ay,accel,,,
traindata_20181005_160053,aBD17Az,accel,-2.3373628263684907,1.602120944065809,0.11288684620422286
traindata_20181005_160053,aBD17Cz,accel,,,
traindata_20181005_160053,aBD23Ay,accel,,,
traindata_20181005_160053,aBD23Az,accel,,,
traindata_20181005_160053,aAR0910Ay,accel,,,
traindata_20181005_160053,aAR0910Cy,accel,,,
traindata_20181005_160053,aAR1516Ay,accel,,,
traindata_20181005_160053,aAR1516Cy,accel,,,
traindata_20181005_160053,aAR2122Ay,accel,,,
traindata_20181005_160053,aAR2122Cy,accel,,,
traindata_20181005_160053,sgBD1011A,strain,-9.164197560034096e-06,1.7335071585068516e-05,3.051325337124794e-06
traindata_20181005_160053,sgBD1415A,strain,-1.496992955151726e-05,1.4831470748001866e-05,3.5639215763388574e-06
traindata_20181005_160053,sgBD1718A,strain,,,
traindata_20181005_160053,sgBD1718C,strain,-2.2096853699309934e-06,5.7761279223260295e-05,1.1979153653386952e-05
traindata_20181005_160053,sgBD2324AB,strain,,,
traindata_20181005_160053,sgBD2324AT,strain,,,
traindata_20181005_160053,sgBD2324C,strain,-2.5530095959326376e-06,5.4226593900512095e-05,1.1516276534185681e-05
traindata_20181005_160053,sgBD2728A,strain,-5.123155650853563e-06,4.085568044948983e-05,6.576139346342189e-06
traindata_20181005_160053,sgDI20ALB,strain,,,
traindata_20181005_160053,sgDI20ALL,strain,,,
traindata_20181005_160053,sgDI23ALB,strain,,,
traindata_20181005_160053,sgDI23ALL,strain,,,
traindata_20181005_160053,sgRABB,strain,,,
traindata_20181005_160053,sgRABL,strain,,,
traindata_20181005_160053,sgRAAB,strain,,,
traindata_20181005_160053,sgRAAL,strain,,,
traindata_20181006_072511,aBD11Az,accel,-2.022626432689741,2.0862768866853125,0.09224385347894085
traindata_20181006_072511,aBD17Ay,accel,,,
traindata_20181006_072511,aBD17Az,accel,-1.2975221383718099,1.6994433784393632,0.09684268829960391
traindata_20181006_072511,aBD17Cz,accel,,,
traindata_20181006_072511,aBD23Ay,accel,,,
traindata_20181006_072511,aBD23Az,accel,,,
traindata_20181006_072511,aAR0910Ay,accel,,,
traindata_20181006_072511,aAR0910Cy,accel,,,
traindata_20181006_072511,aAR1516Ay,accel,,,
traindata_20181006_072511,aAR1516Cy,accel,,,
traindata_20181006_072511,aAR2122Ay,accel,,,
traindata_20181006_072511,aAR2122Cy,accel,,,
traindata_20181006_072511,sgBD1011A,strain,-2.4413455984140893e-06,2.093438988742176e-05,4.329451845592149e-06
traindata_20181006_072511,sgBD1415A,strain,-2.4247593476288323e-06,1.6970771661416916e-05,3.4176159951227327e-06
